number_of_compartments,number_of_channels,run_time,simulation_time,dt,number_of_spikes,mean_spike_interval,variance_spike_interval
1909,7631,164.026540995,10.0,5e-05,3,55.5,0.25
1955,7819,162.282635927,10.0,5e-05,5,59.5,7.25
1966,7863,158.477132082,10.0,5e-05,652,153.437788018,0.24612966935
2081,6267,150.983855963,10.0,5e-05,1204,83.0980881131,0.0934543663009
2101,8403,169.326625109,10.0,5e-05,873,114.575688073,0.246564893527
2119,8468,185.283689976,10.0,5e-05,5,59.75,9.1875
2139,8555,174.437094927,10.0,5e-05,1214,82.3660346249,0.327683946039
2140,8384,183.336942911,10.0,5e-05,579,172.640138408,0.230361226518
2153,8606,185.707854986,10.0,5e-05,6,64.4,14.64
2159,8635,187.777382851,10.0,5e-05,572,174.88441331,0.102226407108
2210,8831,192.890931129,10.0,5e-05,13,67.9166666667,11.9097222222
2234,8933,193.43067193,10.0,5e-05,1084,92.2289935365,0.176555496726
2238,8949,192.225349903,10.0,5e-05,0,-1.0,-1.0
2251,9001,191.790687084,10.0,5e-05,300,333.428093645,0.371919777184
2264,9053,195.159945011,10.0,5e-05,437,228.600917431,0.244402828045
2339,9353,205.813555956,10.0,5e-05,545,183.501838235,0.249996620891
2342,9361,202.532348871,10.0,5e-05,1081,92.5018518519,0.249996570645
2442,9767,215.356850147,10.0,5e-05,0,-1.0,-1.0
2448,9786,209.69088912,10.0,5e-05,2,50.0,0.0
2538,10064,223.109333992,10.0,5e-05,864,115.748551564,0.188222119879
2571,8118,206.641548157,10.0,5e-05,241,414.808333333,0.163263888889
2652,10602,235.216034174,10.0,5e-05,1034,96.6911907067,0.337357052692
2701,10801,239.971958876,10.0,5e-05,0,-1.0,-1.0
2788,11151,239.726258039,10.0,5e-05,0,-1.0,-1.0
2801,11203,249.179978132,10.0,5e-05,0,-1.0,-1.0
2890,11557,258.558910847,10.0,5e-05,0,-1.0,-1.0
2949,11795,263.172883987,10.0,5e-05,0,-1.0,-1.0
2987,11947,272.72342205,10.0,5e-05,0,-1.0,-1.0
3046,12183,277.948638201,10.0,5e-05,0,-1.0,-1.0
3161,12643,279.447504044,10.0,5e-05,0,-1.0,-1.0
3221,12844,294.031620026,10.0,5e-05,0,-1.0,-1.0
3497,13985,330.361992121,10.0,5e-05,0,-1.0,-1.0
3534,14133,337.153594017,10.0,5e-05,0,-1.0,-1.0
3538,14151,345.046896935,10.0,5e-05,0,-1.0,-1.0
3600,14397,342.338483095,10.0,5e-05,0,-1.0,-1.0
3661,14643,349.988157988,10.0,5e-05,0,-1.0,-1.0
3698,14785,357.008121967,10.0,5e-05,992,100.771947528,0.180080869093
3739,11969,298.851782084,10.0,5e-05,1096,91.2484018265,0.188524843102
3932,15713,406.187361956,10.0,5e-05,0,-1.0,-1.0
4080,16279,431.040798903,10.0,5e-05,0,-1.0,-1.0
4204,16801,442.34326005,10.0,5e-05,0,-1.0,-1.0
4289,17144,460.870117903,10.0,5e-05,3,59.5,2.25
4360,17439,473.642541885,10.0,5e-05,0,-1.0,-1.0
4509,14352,404.453266144,10.0,5e-05,9,87.25,0.9375
4548,18191,499.212486029,10.0,5e-05,0,-1.0,-1.0
4615,18459,519.816030979,10.0,5e-05,0,-1.0,-1.0
4685,18739,528.066806078,10.0,5e-05,0,-1.0,-1.0
4890,19559,563.196884871,10.0,5e-05,0,-1.0,-1.0
4896,19575,574.51530695,10.0,5e-05,0,-1.0,-1.0
4923,19691,572.349470854,10.0,5e-05,0,-1.0,-1.0
5026,20101,593.893224955,10.0,5e-05,0,-1.0,-1.0
5137,20535,631.234798908,10.0,5e-05,0,-1.0,-1.0
5988,23951,743.975341082,10.0,5e-05,0,-1.0,-1.0
6356,25421,815.138526917,10.0,5e-05,0,-1.0,-1.0
6649,26593,865.306846857,10.0,5e-05,0,-1.0,-1.0
7184,28733,935.42863822,10.0,5e-05,0,-1.0,-1.0
7284,29133,979.223415136,10.0,5e-05,0,-1.0,-1.0
8288,33149,1058.82376313,10.0,5e-05,0,-1.0,-1.0
8368,33469,1141.21086001,10.0,5e-05,0,-1.0,-1.0
9231,36921,1301.20634604,10.0,5e-05,0,-1.0,-1.0
9335,30039,1151.64184093,10.0,5e-05,1259,79.4705882353,36.4844290657
9474,37893,1319.78584695,10.0,5e-05,0,-1.0,-1.0
10129,40513,1372.79409504,10.0,5e-05,0,-1.0,-1.0
10140,33301,1254.33499694,10.0,5e-05,1043,95.9280230326,0.0667962835386
10234,32071,1229.97731209,10.0,5e-05,828,120.782345828,0.170280833244
10610,42437,1471.3950572,10.0,5e-05,0,-1.0,-1.0
11070,44277,1536.59355903,10.0,5e-05,0,-1.0,-1.0
11233,34984,1463.878829,10.0,5e-05,2,39.0,0.0
11702,46805,1539.84900093,10.0,5e-05,0,-1.0,-1.0
12199,48793,1751.30569005,10.0,5e-05,0,-1.0,-1.0
12769,39598,1610.34359407,10.0,5e-05,2,46.0,0.0
13088,52349,1878.13203096,10.0,5e-05,0,-1.0,-1.0
13807,55225,1999.29277897,10.0,5e-05,0,-1.0,-1.0
14122,56485,2021.09963608,10.0,5e-05,0,-1.0,-1.0
15542,62165,2178.79123116,10.0,5e-05,0,-1.0,-1.0
16896,67581,2505.16363978,10.0,5e-05,0,-1.0,-1.0
