time,comp0,comp1
0.0,-0.065,-0.065
0.0001,-0.0586403315593,-0.065
0.0002,-0.0554684363619,-0.065
0.0003,-0.0530954543645,-0.065
0.0004,-0.0511229065096,-0.0649999999988
0.0005,-0.0494012363503,-0.064999999978
0.0006,-0.0478556018164,-0.0649999997696
0.0007,-0.0464423075313,-0.0649999983735
0.0008,-0.0451332393385,-0.0649999916929
0.0009,-0.0439090519577,-0.0649999674104
0.001,-0.0427557615867,-0.0649998967786
0.0011,-0.041662871157,-0.0649997249669
0.0012,-0.0406222621312,-0.0649993626691
0.0013,-0.0396275016254,-0.064998681171
0.0014,-0.0386733892102,-0.0649975117412
0.0015,-0.0377556492718,-0.0649956489686
0.0016,-0.0368707155863,-0.0649928569821
0.0017,-0.0360155764264,-0.0649888773044
0.0018,-0.0351876606278,-0.0649834372367
0.0019,-0.034384752108,-0.0649762579487
0.002,-0.0336049246061,-0.0649670617398
0.0021,-0.0328464910882,-0.0649555781907
0.0022,-0.0321079639786,-0.0649415491053
0.0023,-0.0313880235135,-0.0649247322713
0.0024,-0.0306854922757,-0.0649049041391
0.0025,-0.0299993144942,-0.0648818615605
0.0026,-0.0293285390629,-0.0648554227355
0.0027,-0.0286723054888,-0.0648254275199
0.0028,-0.0280298321765,-0.0647917372272
0.0029,-0.0274004065879,-0.0647542340468
0.003,-0.0267833769224,-0.0647128201807
0.0031,-0.0261781450392,-0.0646674167835
0.0032,-0.0255841604007,-0.0646179627748
0.0033,-0.0250009148633,-0.0645644135784
0.0034,-0.0244279381723,-0.0645067398328
0.0035,-0.0238647940505,-0.0644449261032
0.0036,-0.023311076784,-0.0643789696212
0.0037,-0.0227664082338,-0.0643088790686
0.0038,-0.0222304352065,-0.0642346734179
0.0039,-0.0217028271355,-0.0641563808377
0.004,-0.0211832740279,-0.0640740376662
0.0041,-0.0206714846422,-0.0639876874568
0.0042,-0.0201671848646,-0.0638973800935
0.0043,-0.0196701162608,-0.0638031709778
0.0044,-0.0191800347785,-0.0637051202813
0.0045,-0.0186967095845,-0.0636032922646
0.0046,-0.0182199220187,-0.0634977546558
0.0047,-0.0177494646523,-0.063388578088
0.0048,-0.0172851404373,-0.0632758355891
0.0049,-0.016826761938,-0.0631596021224
0.005,-0.0163741506344,-0.0630399541731
0.0051,-0.0159271362908,-0.0629169693767
0.0052,-0.0154855563814,-0.0627907261874
0.0053,-0.0150492555682,-0.0626613035814
0.0054,-0.0146180852251,-0.0625287807935
0.0055,-0.0141919030026,-0.0623932370826
0.0056,-0.0137705724314,-0.0622547515249
0.0057,-0.0133539625583,-0.0621134028317
0.0058,-0.0129419476132,-0.0619692691887
0.0059,-0.0125344067032,-0.061822428116
0.006,-0.0121312235315,-0.0616729563464
0.0061,-0.0117322861388,-0.0615209297193
0.0062,-0.0113374866647,-0.0613664230902
0.0063,-0.0109467211278,-0.0612095102529
0.0064,-0.0105598892223,-0.0610502638741
0.0065,-0.0101768941298,-0.0608887554379
0.0066,-0.00979764234508,-0.0607250552009
0.0067,-0.0094220435141,-0.060559232155
0.0068,-0.00905001028375,-0.0603913539982
0.0069,-0.0086814581618,-0.0602214871124
0.007,-0.00831630538658,-0.0600496965469
0.0071,-0.00795447280519,-0.059876046007
0.0072,-0.00759588375975,-0.0597005978488
0.0073,-0.00724046398098,-0.0595234130761
0.0074,-0.00688814148837,-0.0593445513428
0.0075,-0.00653884649655,-0.0591640709577
0.0076,-0.00619251132724,-0.0589820288924
0.0077,-0.00584907032643,-0.0587984807917
0.0078,-0.00550845978629,-0.0586134809859
0.0079,-0.00517061787143,-0.0584270825055
0.008,-0.00483548454934,-0.0582393370972
0.0081,-0.00450300152443,-0.0580502952413
0.0082,-0.00417311217561,-0.05786000617
0.0083,-0.00384576149704,-0.0576685178877
0.0084,-0.00352089604192,-0.0574758771907
0.0085,-0.00319846386891,-0.0572821296886
0.0086,-0.00287841449126,-0.057087319826
0.0087,-0.00256069882821,-0.0568914909042
0.0088,-0.00224526915867,-0.0566946851037
0.0089,-0.00193207907701,-0.0564969435069
0.009,-0.00162108345067,-0.0562983061204
0.0091,-0.00131223837975,-0.056098811898
0.0092,-0.00100550115815,-0.0558984987634
0.0093,-0.00070083023642,-0.0556974036325
0.0094,-0.000398185186038,-0.0554955624364
0.0095,-9.75266651378e-05,-0.0552930101433
0.0096,0.000201183614446,-0.0550897807811
0.0097,0.00049798291887,-0.054885907459
0.0098,0.000792907522792,-0.0546814223891
0.0099,0.00108599273876,-0.0544763569081
0.01,0.00137727294553,-0.0542707414982
0.0101,0.00166678161538,-0.0540646058077
0.0102,0.00195455134048,-0.0538579786717
0.0103,0.00224061385834,-0.0536508881319
0.0104,0.00252500007635,-0.0534433614564
0.0105,0.00280774009559,-0.0532354251589
0.0106,0.00308886323377,-0.0530271050179
0.0107,0.00336839804744,-0.0528184260951
0.0108,0.0036463723535,-0.0526094127537
0.0109,0.00392281324999,-0.052400088676
0.011,0.00419774713628,-0.052190476881
0.0111,0.00447119973252,-0.0519805997415
0.0112,0.00474319609862,-0.0517704790008
0.0113,0.00501376065254,-0.0515601357886
0.0114,0.00528291718808,-0.0513495906376
0.0115,0.0055506888921,-0.0511388634984
0.0116,0.00581709836124,-0.0509279737552
0.0117,0.00608216761815,-0.0507169402401
0.0118,0.00634591812721,-0.0505057812484
0.0119,0.0066083708098,-0.0502945145517
0.012,0.00686954605917,-0.0500831574125
0.0121,0.00712946375479,-0.0498717265974
0.0122,0.00738814327634,-0.04966023839
0.0123,0.00764560351731,-0.0494487086039
0.0124,0.00790186289818,-0.0492371525952
0.0125,0.00815693937921,-0.0490255852746
0.0126,0.00841085047292,-0.0488140211191
0.0127,0.00866361325618,-0.0486024741839
0.0128,0.00891524438195,-0.0483909581132
0.0129,0.00916576009071,-0.0481794861516
0.013,0.0094151762216,-0.0479680711546
0.0131,0.00966350822317,-0.0477567255989
0.0132,0.00991077116388,-0.0475454615926
0.0133,0.0101569797423,-0.0473342908853
0.0134,0.0104021482972,-0.0471232248775
0.0135,0.0106462908168,-0.0469122746299
0.0136,0.0108894209485,-0.0467014508727
0.0137,0.011131552008,-0.0464907640146
0.0138,0.011372696988,-0.0462802241511
0.0139,0.0116128685667,-0.0460698410732
0.014,0.0118520791168,-0.0458596242755
0.0141,0.0120903407127,-0.0456495829642
0.0142,0.0123276651396,-0.0454397260651
0.0143,0.0125640639001,-0.0452300622307
0.0144,0.0127995482226,-0.045020599848
0.0145,0.0130341290679,-0.0448113470455
0.0146,0.0132678171368,-0.0446023117003
0.0147,0.013500622877,-0.0443935014448
0.0148,0.0137325564894,-0.0441849236731
0.0149,0.0139636279351,-0.0439765855481
0.015,0.0141938469416,-0.0437684940072
0.0151,0.0144232230089,-0.0435606557685
0.0152,0.0146517654158,-0.0433530773369
0.0153,0.0148794832253,-0.0431457650099
0.0154,0.015106385291,-0.0429387248831
0.0155,0.0153324802618,-0.0427319628557
0.0156,0.0155577765881,-0.0425254846358
0.0157,0.0157822825266,-0.042319295746
0.0158,0.0160060061454,-0.0421134015279
0.0159,0.0162289553294,-0.0419078071471
0.016,0.0164511377846,-0.0417025175984
0.0161,0.0166725610431,-0.0414975377102
0.0162,0.0168932324677,-0.0412928721488
0.0163,0.0171131592564,-0.0410885254234
0.0164,0.0173323484466,-0.0408845018898
0.0165,0.0175508069192,-0.0406808057549
0.0166,0.0177685414032,-0.0404774410807
0.0167,0.0179855584792,-0.0402744117883
0.0168,0.0182018645837,-0.0400717216618
0.0169,0.0184174660123,-0.0398693743519
0.017,0.0186323689243,-0.0396673733796
0.0171,0.0188465793454,-0.0394657221398
0.0172,0.0190601031716,-0.0392644239048
0.0173,0.0192729461728,-0.0390634818275
0.0174,0.0194851139955,-0.038862898945
0.0175,0.0196966121668,-0.0386626781813
0.0176,0.0199074460968,-0.0384628223508
0.0177,0.0201176210822,-0.0382633341613
0.0178,0.0203271423089,-0.0380642162166
0.0179,0.0205360148551,-0.0378654710198
0.018,0.020744243694,-0.0376671009757
0.0181,0.0209518336966,-0.0374691083939
0.0182,0.0211587896345,-0.037271495491
0.0183,0.021365116182,-0.0370742643935
0.0184,0.0215708179193,-0.0368774171401
0.0185,0.0217758993344,-0.0366809556842
0.0186,0.0219803648257,-0.0364848818963
0.0187,0.0221842187045,-0.0362891975664
0.0188,0.022387465197,-0.0360939044057
0.0189,0.0225901084465,-0.0358990040497
0.019,0.0227921525158,-0.0357044980594
0.0191,0.0229936013889,-0.0355103879239
0.0192,0.0231944589735,-0.0353166750623
0.0193,0.0233947291025,-0.0351233608256
0.0194,0.0235944155365,-0.0349304464985
0.0195,0.0237935219648,-0.0347379333016
0.0196,0.0239920520082,-0.0345458223927
0.0197,0.0241900092201,-0.0343541148691
0.0198,0.0243873970885,-0.0341628117687
0.0199,0.0245842190377,-0.0339719140722
0.02,0.0247804784296,-0.0337814227045
0.0201,0.0249761785659,-0.0335913385362
0.0202,0.0251713226891,-0.0334016623851
0.0203,0.0253659139841,-0.033212395018
0.0204,0.0255599555801,-0.0330235371516
0.0205,0.0257534505514,-0.0328350894546
0.0206,0.0259464019191,-0.0326470525483
0.0207,0.0261388126527,-0.0324594270088
0.0208,0.0263306856709,-0.0322722133674
0.0209,0.0265220238433,-0.0320854121125
0.021,0.0267128299914,-0.0318990236906
0.0211,0.02690310689,-0.0317130485074
0.0212,0.0270928572681,-0.0315274869293
0.0213,0.0272820838104,-0.0313423392841
0.0214,0.0274707891582,-0.0311576058624
0.0215,0.0276589759106,-0.0309732869185
