time,soma
0.0,-0.06
0.0001,-0.0583860618092
0.0002,-0.0577457825284
0.0003,-0.0573559890175
0.0004,-0.057079170589
0.0005,-0.0568606616094
0.0006,-0.0566752228042
0.0007,-0.056510327728
0.0008,-0.0563593707508
0.0009,-0.0562186436383
0.001,-0.0560859186472
0.0011,-0.0559597582934
0.0012,-0.0558391671193
0.0013,-0.055723410396
0.0014,-0.0556119161375
0.0015,-0.0555042203415
0.0016,-0.0553999348512
0.0017,-0.0552987276225
0.0018,-0.0552003098993
0.0019,-0.0551044275142
0.002,-0.0550108545469
0.0021,-0.0549193885887
0.0022,-0.0548298470454
0.0023,-0.054742064089
0.0024,-0.0546558884695
0.0025,-0.0545711812905
0.0026,-0.0544878142945
0.0027,-0.0544056685602
0.0028,-0.0543246333365
0.0029,-0.0542446045897
0.003,-0.0541654846593
0.0031,-0.0540871809222
0.0032,-0.0540096054957
0.0033,-0.0539326743766
0.0034,-0.0538563068035
0.0035,-0.0537804249394
0.0036,-0.0537049533432
0.0037,-0.0536298186099
0.0038,-0.0535549486003
0.0039,-0.0534802724318
0.004,-0.0534057201004
0.0041,-0.0533312220311
0.0042,-0.0532567084962
0.0043,-0.0531821094971
0.0044,-0.053107354641
0.0045,-0.0530323724156
0.0046,-0.0529570897838
0.0047,-0.052881431911
0.0048,-0.0528053220696
0.0049,-0.052728680763
0.005,-0.0526514252488
0.0051,-0.0525734692419
0.0052,-0.0524947223814
0.0053,-0.0524150895964
0.0054,-0.0523344700077
0.0055,-0.0522527567764
0.0056,-0.0521698357417
0.0057,-0.0520855848543
0.0058,-0.0519998729192
0.0059,-0.0519125582532
0.006,-0.0518234871956
0.0061,-0.0517324927548
0.0062,-0.0516393923843
0.0063,-0.0515439859267
0.0064,-0.0514460528879
0.0065,-0.0513453494461
0.0066,-0.0512416048036
0.0067,-0.0511345167728
0.0068,-0.0510237466866
0.0069,-0.0509089132194
0.007,-0.0507895847135
0.0071,-0.0506652700303
0.0072,-0.0505354069272
0.0073,-0.0503993474755
0.0074,-0.0502563423148
0.0075,-0.0501055157868
0.0076,-0.0499458390136
0.0077,-0.0497760919595
0.0078,-0.0495948169463
